RANK,TEAM,LEAGUE,AVG ANNUAL PAY £,AVG ANNUAL PAY $
"(LAST YEAR)",,,(AVG WEEKLY PAY),(AVG WEEKLY PAY)
305 (-),Shimizu S-Pulse,J.League,"£153,974 (£2,961)","$200,166 ($3,849)"
306 (294),Omiya Ardija,J.League,"£153,680 (£2,955)","$199,784 ($3,842)"
307 (-),Minnesota United,MLS,"£151,649 (£2,916)","$197,143 ($3,791)"
308 (269),Montreal Impact,MLS,"£150,843 (£2,901)","$196,097 ($3,771)"
309 (300),Dc United,MLS,"£150,212 (£2,889)","$195,276 ($3,755)"
310 (299),Kashiwa Reysol,J.League,"£144,789 (£2,784)","$188,225 ($3,620)"
311 (309),Sagan Tosu,J.League,"£141,947 (£2,730)","$184,532 ($3,549)"
312 (302),Houston Dynamo,MLS,"£139,869 (£2,690)","$181,829 ($3,497)"
313 (304),Aberdeen,Scot Prem,"£136,382 (£2,623)","$177,296 ($3,410)"
314 (-),consadole Sapporo,J.League,"£113,005 (£2,173)","$146,906 ($2,825)"
315 (312),Yanbian Funde,cSL,"£99,048 (£1,905)","$128,762 ($2,476)"
316 (314),Hearts,Scot Prem,"£95,514 (£1,837)","$124,168 ($2,388)"
317 (313),Vegalta Sendai,J.League,"£89,461 (£1,720)","$116,299 ($2,237)"
318 (-),Hibernian,Scot Prem,"£87,100 (£1,675)","$113,230 ($2,178)"
319 (310),Albirex Niigata,J.League,"£81,866 (£1,574)","$106,426 ($2,047)"
320 (317),Ventforet Kofu,J.League,"£78,498 (£1,510)","$102,047 ($1,962)"
321 (318),Ottawa Redblacks,cFL,"£74,504 (£1,433)","$96,855 ($1,863)"
322 (319),calgary Stampeders,cFL,"£69,685 (£1,340)","$90,591 ($1,742)"
323 (316),Edmonton Eskimos,cFL,"£68,117 (£1,310)","$88,551 ($1,703)"
324 (322),Winnipeg Blue Bombers,cFL,"£66,630 (£1,281)","$86,619 ($1,666)"
325 (320),Saskatchewan Roughriders,cFL,"£66,614 (£1,281)","$86,599 ($1,665)"
326 (321),Hamilton Tiger-cats,cFL,"£66,082 (£1,271)","$85,906 ($1,652)"
327 (-),Atlanta Dream,WNBA,"£65,663 (£1,263)","$85,362 ($1,642)"
328 (323),Bc Lions,cFL,"£65,374 (£1,257)","$84,986 ($1,634)"
329 (326),Montreal Alouettes,cFL,"£63,140 (£1,214)","$82,082 ($1,579)"
330 (324),Toronto Argonauts,cFL,"£62,043 (£1,193)","$80,656 ($1,551)"
331 (-),Minnesota Lynx,WNBA,"£61,324 (£1,179)","$79,721 ($1,533)"
332 (-),Phoenix Mercury,WNBA,"£61,279 (£1,178)","$79,663 ($1,532)"
333 (-),Los Angeles Sparks,WNBA,"£60,938 (£1,172)","$79,219 ($1,523)"
334 (325),Dundee,Scot Prem,"£59,904 (£1,152)","$77,875 ($1,498)"
335 (-),Washington Mystics,WNBA,"£59,724 (£1,149)","$77,641 ($1,493)"
336 (-),connecticut Sun,WNBA,"£58,604 (£1,127)","$76,185 ($1,465)"
337 (332),Partick Thistle,Scot Prem,"£58,175 (£1,119)","$75,628 ($1,454)"
338 (330),Ross county,Scot Prem,"£56,394 (£1,085)","$73,312 ($1,410)"
339 (-),New York Liberty,WNBA,"£56,163 (£1,080)","$73,011 ($1,404)"
340 (-),San Antonio Stars,WNBA,"£55,187 (£1,061)","$71,743 ($1,380)"
341 (329),Kilmarnock,Scot Prem,"£55,100 (£1,060)","$71,630 ($1,378)"
342 (-),Indiana Fever,WNBA,"£54,730 (£1,052)","$71,149 ($1,368)"
343 (-),Dallas Wings,WNBA,"£54,414 (£1,046)","$70,738 ($1,360)"
344 (-),Seattle Storm,WNBA,"£52,438 (£1,008)","$68,169 ($1,311)"
